iter	Passed	Remaining
0	292	292131
1	578	288448
2	730	242739
3	799	199180
4	1044	207863
5	1435	237756
6	1841	261170
7	1989	246722
8	2090	230155
9	2264	224164
10	2368	212987
11	2442	201088
12	2516	191089
13	2574	181335
14	2635	173047
15	2737	168349
16	2888	167036
17	2960	161520
18	3031	156508
19	3093	151574
20	3157	147205
21	3253	144639
22	3415	145074
23	3606	146674
24	3731	145511
25	3813	142850
26	3890	140205
27	3980	138193
28	4405	147524
29	4526	146343
30	4630	144740
31	4715	142656
32	4790	140390
33	4868	138315
34	5012	138200
35	5133	137458
36	5320	138478
37	5455	138119
38	5570	137261
39	5852	140464
40	6063	141830
41	6323	144230
42	6447	143488
43	6690	145359
44	6927	147024
45	7399	153462
46	8030	162841
47	8356	165727
48	8855	171878
49	9351	177681
50	10100	187951
51	10813	197132
52	11715	209329
53	12494	218886
54	13469	231434
55	14430	243254
56	15345	253880
57	16215	263355
58	16758	267290
59	16800	263206
60	16837	259183
61	16875	255305
62	16910	251516
63	16947	24765	17153	242742
66	17544	244319
67	18354	251562
68	18739	252844
69	19420	258012
70	19962	261201
71	20727	267152
72	21187	269055
73	21673	271208
74	22194	273727
75	22493	273475
76	23157	277590
77	23895	282459
78	24503	285666
79	25640	294861
80	26223	297520
81	26746	299434
82	27292	301531
83	28416	309877
84	28897	311069
85	29375	312195
86	30077	315642
87	30515	316253
88	30564	312861
89	30613	309536
90	389	31022	313672
90	31143	311094
91	31406	309967
92	31693	309097
93	32471	312970
94	33218	316445
95	33754	317850
96	34162	318026
97	35011	322252
98	35837	326154
99	36475	328279
100	37203	331146
101	37708	331984
102	38156	332292
103	38989	335907
104	39728	338635
105	40106	338256
106	40675	339469
107	41241	340622
108	41762	341377
109	42409	343132
110	42699	341978
111	42962	340627
112	43377	340494
113	43785	340299
114	44115	339499
115	44719	340797
116	45035	339880
117	45418	339480
118	45739	338626
119	46068	337833
120	46351	336716
121	46615	335478
122	46992	335062
123	47296	334126
124	47600	333200
125	47843	331864
126	48150	330987
127	48421	329869
128	48703	328844
129	49114	328690
130	49371	327508
131	49690	326754
132	50047	326250
133	50325	325238
134	50548	323885
135	50827	322902
136	51118	322011
137	51341	320696
138	51618	319734
139	52165	320448
140	52536	320060
141	52843	319292
142	53244	319095
143	53564	318410
